UID,ID,Tipster,Date,Track,Horse,Bet Type,Odds,Result,TipsterActive
8384,225,Tipster G,02/04/2016,Doncaster,Examiner,Each Way,21,Lose,TRUE
8385,226,Tipster G,05/04/2016,Ludlow,Sahara Haze,Each Way,17,Lose,TRUE
8386,227,Tipster G,06/04/2016,Catterick,Windforpower,Each Way,15,Lose,TRUE
8387,228,Tipster G,07/04/2016,Aintree,Croco Bay,Each Way,21,Lose,TRUE
8388,229,Tipster G,08/04/2016,Aintree,Party Rock,Each Way,34,Win,TRUE
8389,230,Tipster G,08/04/2016,Aintree,Dare To Endeavour,Each Way,29,Lose,TRUE
8390,231,Tipster G,09/04/2016,Aintree,Mydor,Each Way,12,Lose,TRUE
8391,232,Tipster G,09/04/2016,Aintree,The Romford Pele,Each Way,51,Lose,TRUE
8392,233,Tipster G,09/04/2016,Aintree,Sir Ector,Each Way,34,Lose,TRUE
8393,234,Tipster G,13/04/2016,Cheltenham,Horizontal Speed,Each Way,34,Lose,TRUE
8394,235,Tipster G,16/04/2016,Ayr,Milborough,Each Way,41,Lose,TRUE
8395,236,Tipster G,19/04/2016,Kempton,Political Quiz,Each Way,26,Lose,TRUE
8396,237,Tipster G,20/04/2016,Fairyhouse,Mountain Kingdom,Each Way,26,Lose,TRUE
8397,238,Tipster G,22/04/2016,Doncaster,My Lucille,Each Way,41,Win,TRUE
8398,239,Tipster G,22/04/2016,Doncaster,Top Boy,Win,10,Lose,TRUE
8399,240,Tipster G,23/04/2016,Ripon,Father Bertie,Each Way,17,Win,TRUE
8400,241,Tipster G,24/04/2016,Gowran Park,Like A Prayer,Each Way,23,Lose,TRUE
8401,242,Tipster G,26/04/2016,Punchestown,Bamako Moriviere,Each Way,23,Win,TRUE
8402,243,Tipster G,27/04/2016,Punchestown,Definite Earl,Each Way,23,Lose,TRUE
8403,244,Tipster G,28/04/2016,Punchestown,Pakman,Each Way,26,Win,TRUE
8404,245,Tipster G,29/04/2016,Punchestown,Balnagon Boy,Each Way,13,Lose,TRUE
8405,246,Tipster G,30/04/2016,Punchestown,Heaney,Each Way,17,Lose,TRUE
8406,247,Tipster G,30/04/2016,Punchestown,Midnight Jazz,Each Way,41,Lose,TRUE
8407,248,Tipster G,04/05/2016,Chester,Gabrials King,Each Way,17,Lose,TRUE
8408,249,Tipster G,07/05/2016,Haydock,Nuts Well,Each Way,23,Lose,TRUE
8409,250,Tipster G,08/05/2016,Leopardstown,Beacon Rock,Each Way,15,Lose,TRUE
8410,251,Tipster G,10/05/2016,Wincanton,Bound Hill,Each Way,26,Lose,TRUE
8411,252,Tipster G,11/05/2016,York,London Protocol,Each Way,67,Lose,TRUE
8412,253,Tipster G,16/05/2016,Brighton,Vincentti,Each Way,26,Lose,TRUE
8413,254,Tipster G,18/05/2016,Bath,Kingstreet Lady,Each Way,17,Lose,TRUE
8414,255,Tipster G,21/05/2016,Haydock,Still On Top,Each Way,34,Lose,TRUE
8415,256,Tipster G,23/05/2016,Windsor,Joeys Destiny,Each Way,19,Lose,TRUE
8416,257,Tipster G,25/05/2016,Lingfield,Pivotal Dream,Each Way,21,Lose,TRUE
8417,258,Tipster G,27/05/2016,Haydock,Nuclear Power,Each Way,17,Lose,TRUE
8418,259,Tipster G,28/05/2016,Haydock,Firesnake,Each Way,29,Lose,TRUE
8419,260,Tipster G,30/05/2016,Leicester,Pray For Paris,Each Way,34,Lose,TRUE
8420,261,Tipster G,01/06/2016,Nottingham,Indigo,Each Way,29,Lose,TRUE
8421,262,Tipster G,03/06/2016,Epsom,Cordite,Each Way,34,Lose,TRUE
8422,263,Tipster G,05/06/2016,Listowel,Tears In My Eyes,Each Way,26,Lose,TRUE
8423,264,Tipster G,08/06/2016,Beverley,Emilie Bronte,Each Way,34,Lose,TRUE
8424,265,Tipster G,09/06/2016,Haydock,Margrets Gift,Each Way,19,Lose,TRUE
8425,266,Tipster G,14/06/2016,Ascot,Totalize,Each Way,21,Lose,TRUE
8426,267,Tipster G,16/06/2016,Ascot,Sevenleft,Each Way,51,Lose,TRUE
8427,268,Tipster G,25/06/2016,Newcastle,Swaheen,Each Way,34,Lose,TRUE
8428,269,Tipster G,28/06/2016,Sligo,Chips Are Down,Each Way,26,Win,TRUE
8429,270,Tipster G,01/07/2016,Sandown,Zamperini,Each Way,17,Win,TRUE
8430,271,Tipster G,02/07/2016,Haydock,By Rights,Each Way,34,Win,TRUE
8431,272,Tipster G,04/07/2016,Ripon,Fazza,Each Way,26,Lose,TRUE
8432,273,Tipster G,08/07/2016,Newmarket,Chiringuita,Each Way,26,Win,TRUE
8433,274,Tipster G,09/07/2016,Newmarket,Bossy Guest,Each Way,17,Lose,TRUE
8434,275,Tipster G,15/07/2016,Newbury,Go On Mayson,Each Way,41,Lose,TRUE
8435,276,Tipster G,16/07/2016,Newmarket,Miracle Of Medinah,Each Way,15,Lose,TRUE
8436,277,Tipster G,21/07/2016,Yarmouth,Royal Mighty,Each Way,34,Lose,TRUE
8437,278,Tipster G,23/07/2016,Ascot,Sakhees Return,Each Way,19,Win,TRUE
8438,279,Tipster G,02/08/2016,Salisbury,Vincentti,Each Way,13,Win,TRUE
8439,280,Tipster G,03/08/2016,Bath,Sheilas Treat,Each Way,17,Lose,TRUE
8440,281,Tipster G,07/08/2016,Curragh,Pick Of Any,Each Way,17,Lose,TRUE
8441,282,Tipster G,12/08/2016,Newbury,Mister Musicmaster,Each Way,17,Lose,TRUE
8442,283,Tipster G,13/08/2016,Doncaster,Sakhees Return,Each Way,19,Lose,TRUE
8443,284,Tipster G,17/08/2016,York,Letmestopyouthere,Each Way,34,Lose,TRUE
8444,285,Tipster G,18/08/2016,York,Quick N Quirky,Each Way,17,Lose,TRUE
8445,286,Tipster G,20/08/2016,York,Fun Mac,Each Way,34,Lose,TRUE
8446,287,Tipster G,24/08/2016,Bellewstown,Shanghai Dolly,Each Way,34,Lose,TRUE
8447,288,Tipster G,26/08/2016,Thirsk,Silver Gleam,Each Way,41,Lose,TRUE
8448,289,Tipster G,27/08/2016,Goodwood,Bergholt,Each Way,23,Lose,TRUE
8449,290,Tipster G,02/09/2016,Kempton,Hier Encore,Each Way,13,Lose,TRUE
8450,1,Tipster H,07/01/2015,Kempton,Douneedahand,Win,14,Lose,FALSE
8451,2,Tipster H,08/01/2015,Leicester,Etania,Win,8,Lose,FALSE
8452,3,Tipster H,08/01/2015,Catterick,Minella Hero,Win,9,Lose,FALSE
8453,4,Tipster H,08/01/2015,SouthWell,Ifittakesforever,Win,9.54,Win,FALSE
8454,5,Tipster H,08/01/2015,Leicester,Worldor,Win,9.55,Lose,FALSE
8455,6,Tipster H,08/01/2015,Wolverhampton,Eatsleepracerepeat,Win,11,Lose,FALSE
8456,7,Tipster H,09/01/2015,Chantilly,Merchant Of Milan,Win,5,Lose,FALSE
8457,8,Tipster H,09/01/2015,Lingfield,Stanlow,Win,11.2,Lose,FALSE
8458,9,Tipster H,09/01/2015,Huntingdon,Theos Charm,Win,10,Win,FALSE
8459,10,Tipster H,09/01/2015,Lingfield,Keep Kicking,Win,8.41,Lose,FALSE
8460,11,Tipster H,11/01/2015,Kelso,Amethyst Rose,Win,4.59,Lose,FALSE
8461,12,Tipster H,11/01/2015,Chelmsford,Luis Vaz De Torres,Win,4.33,Lose,FALSE
8462,13,Tipster H,11/01/2015,Kelso,Cape Tribulation,Win,4.5,Lose,FALSE
8463,14,Tipster H,11/01/2015,Chelmsford,Tom Hall,Win,11,Lose,FALSE
8464,15,Tipster H,12/01/2015,Plumpton,Albatros De Guye,Win,6,Lose,FALSE
8465,16,Tipster H,12/01/2015,Auteuil,Bush Beauty,Win,5,Lose,FALSE
8466,17,Tipster H,12/01/2015,Wolverhampton,Rat Catcher,Win,6.5,Lose,FALSE
8467,18,Tipster H,12/01/2015,Plumpton,Maccabees,Win,7,Lose,FALSE
8468,19,Tipster H,12/01/2015,Wolverhampton,Bracka Legend,Win,7,Lose,FALSE
8469,20,Tipster H,13/01/2015,SouthWell,Amenable,Win,8,Win,FALSE
8470,21,Tipster H,13/01/2015,SouthWell,Schottische,Win,10,Lose,FALSE
8471,22,Tipster H,13/01/2015,Fakenham,Todd,Win,9,Win,FALSE
8472,23,Tipster H,13/01/2015,SouthWell,Only Ten Per Cent,Win,10,Lose,FALSE
8473,24,Tipster H,13/01/2015,SouthWell,Back Burner,Win,9,Lose,FALSE
8474,25,Tipster H,14/01/2015,Lingfield,Dembaba,Win,7.5,Lose,FALSE
8475,26,Tipster H,14/01/2015,Lingfield,Legerity,Win,6.5,Lose,FALSE
8476,27,Tipster H,14/01/2015,Lingfield,Bookmaker,Win,8,Win,FALSE
8477,28,Tipster H,14/01/2015,Kempton,Skidby Mill,Win,9,Lose,FALSE
8478,29,Tipster H,15/01/2015,Ludlow,Susquehanna River,Win,9.5,Lose,FALSE
8479,30,Tipster H,15/01/2015,Wincanton,Alder Mairi,Win,8.5,Lose,FALSE
8480,31,Tipster H,15/01/2015,Wolverhampton,Flighty Clarets,Win,10,Lose,FALSE
8481,32,Tipster H,15/01/2015,Wolverhampton,Berlusca,Win,7.5,Win,FALSE
8482,33,Tipster H,15/01/2015,Wolverhampton,Erelight,Win,12,Lose,FALSE
8483,34,Tipster H,16/01/2015,Musselburgh,Alizee De Janeiro,Win,7,Lose,FALSE
8484,35,Tipster H,16/01/2015,Lingfield,World Record,Win,9,Lose,FALSE
8485,36,Tipster H,16/01/2015,Musselburgh,Snapping Turtle,Win,7,Lose,FALSE
8486,37,Tipster H,16/01/2015,Wolverhampton,Red Shadow,Win,13,Lose,FALSE
8487,38,Tipster H,16/01/2015,Wolverhampton,Patron Of Explores,Win,17,Lose,FALSE
8488,39,Tipster H,17/01/2015,Taunton,Castarnie,Win,8.5,Win,FALSE
8489,40,Tipster H,17/01/2015,Ascot,Lyvius,Win,8.5,Lose,FALSE
8490,41,Tipster H,17/01/2015,Taunton,Daveron,Win,8,Lose,FALSE
8491,42,Tipster H,17/01/2015,Lingfield,Miss Minuty,Win,6,Win,FALSE
8492,43,Tipster H,17/01/2015,Taunton,Fishing Bridge,Win,8.5,Lose,FALSE
8493,44,Tipster H,18/01/2015,Kempton,Black Truffle,Win,9,Lose,FALSE
8494,45,Tipster H,18/01/2015,Kempton,Shaunas Spirit,Win,15,Lose,FALSE
8495,46,Tipster H,18/01/2015,Kempton,West Leake,Win,12,Lose,FALSE
8496,47,Tipster H,18/01/2015,Kempton,Pabusar,Win,8.5,Lose,FALSE
8497,48,Tipster H,18/01/2015,Kempton,Skidby Mill,Win,11,Lose,FALSE
8498,49,Tipster H,19/01/2015,Wolverhampton,Arctic Lynx,Win,10,Lose,FALSE
8499,50,Tipster H,19/01/2015,Bath,Bathwick Street,Win,12,Lose,FALSE
8500,51,Tipster H,19/01/2015,Wolverhampton,Poor Duke,Win,8,Lose,FALSE
8501,52,Tipster H,19/01/2015,Exeter,Kentford Myth,Win,11,Lose,FALSE
8502,53,Tipster H,19/01/2015,Wolverhampton,Sheriff Of Nawton,Win,9,Lose,FALSE
8503,54,Tipster H,20/01/2015,Hamilton,Shamiana,Win,19,Lose,FALSE
8504,55,Tipster H,20/01/2015,Wetherby,Gwladys Street,Win,13,Lose,FALSE
8505,56,Tipster H,20/01/2015,SouthWell,Royal Bajan,Win,15,Lose,FALSE
8506,57,Tipster H,20/01/2015,Wetherby,Beauboreen,Win,12,Lose,FALSE
8507,58,Tipster H,20/01/2015,SouthWell,Reve De Nuit,Win,13,Lose,FALSE
8508,59,Tipster H,21/01/2015,Catterick,Brokethegate,Win,8,Lose,FALSE
8509,60,Tipster H,21/01/2015,Ayr,Markem,Win,7.5,Lose,FALSE
8510,61,Tipster H,21/01/2015,Catterick,Vasco Dycy,Win,7,Lose,FALSE
8511,62,Tipster H,21/01/2015,Catterick,Copt Hill,Win,9,Lose,FALSE
8512,63,Tipster H,21/01/2015,Ayr,Amore Mio,Win,6.5,Lose,FALSE
8513,64,Tipster H,22/01/2015,Fakenham,Ruby Valentine,Win,9,Lose,FALSE
8514,65,Tipster H,22/01/2015,SouthWell,Foxtrot Jubilee,Win,13,Lose,FALSE
8515,66,Tipster H,22/01/2015,SouthWell,Schottische,Win,9,Win,FALSE
8516,67,Tipster H,22/01/2015,Warwick,Golfers Crossing,Win,13,Lose,FALSE
8517,68,Tipster H,22/01/2015,Chelmsford,Applejack Lad,Win,8.5,Lose,FALSE
8518,69,Tipster H,23/01/2015,Doncaster,Haleo,Win,19,Lose,FALSE
8519,70,Tipster H,23/01/2015,Brighton,Brigliadoro,Win,11,Lose,FALSE
8520,71,Tipster H,23/01/2015,Wolverhampton,Lady Hare,Win,26,Lose,FALSE
8521,72,Tipster H,23/01/2015,Wolverhampton,Lacey,Win,15,Lose,FALSE
8522,73,Tipster H,23/01/2015,Keeneland,Keenes Pointe,Win,15,Lose,FALSE
8523,74,Tipster H,24/01/2015,Lingfield,Boogangoo,Win,15,Lose,FALSE
8524,75,Tipster H,24/01/2015,Uttoxeter,Matrows Lady,Win,10,Lose,FALSE
8525,76,Tipster H,26/01/2015,Wolverhampton,Prigsnov Dancer,Win,21,Lose,FALSE
8526,77,Tipster H,26/01/2015,Ludlow,Speedy Tunes,Win,17,Lose,FALSE
8527,78,Tipster H,26/01/2015,Ludlow,Ascendant,Win,19,Win,FALSE
8528,79,Tipster H,26/01/2015,Plumpton,Maccabees,Win,17,Lose,FALSE
8529,80,Tipster H,26/01/2015,Wolverhampton,The Blue Dog,Win,19,Lose,FALSE
8530,81,Tipster H,27/01/2015,Taunton,Leviathan,Win,12,Lose,FALSE
8531,82,Tipster H,27/01/2015,SouthWell,Auden,Win,13,Lose,FALSE
8532,83,Tipster H,27/01/2015,Taunton,Mission Complete,Win,13,Lose,FALSE
8533,84,Tipster H,27/01/2015,SouthWell,Cyflymder,Win,21,Lose,FALSE
8534,85,Tipster H,27/01/2015,Taunton,Proud Times,Win,21,Lose,FALSE
8535,86,Tipster H,28/01/2015,Leicester,Vujiyama,Win,13,Lose,FALSE
8536,87,Tipster H,28/01/2015,Chelmsford,Kindlelight Storm,Win,12,Lose,FALSE
8537,88,Tipster H,28/01/2015,Newcastle,Hapenny Woods,Win,74,Lose,FALSE
8538,89,Tipster H,28/01/2015,Leicester,Quinola Des Obeaux,Win,23,Lose,FALSE
8539,90,Tipster H,28/01/2015,Kempton,Welsh Inlet,Win,17,Lose,FALSE
8540,91,Tipster H,01/02/2015,Musselburgh,Swaledale Lad,Win,8,Lose,FALSE
8541,92,Tipster H,01/02/2015,Arlington Park,Waltz Darling,Win,13,Lose,FALSE
8542,93,Tipster H,01/02/2015,Musselburgh,Retrieve,Win,7.5,Win,FALSE
8543,94,Tipster H,02/02/2015,Lingfield,Dream Ruler,Win,6.5,Lose,FALSE
8544,95,Tipster H,02/02/2015,Lingfield,Investissement,Win,8.5,Lose,FALSE
8545,96,Tipster H,02/02/2015,Lingfield,Boogangoo,Win,8,Lose,FALSE
8546,97,Tipster H,02/02/2015,Wolverhampton,Entihaa,Win,11,Lose,FALSE
8547,98,Tipster H,02/02/2015,Wolverhampton,Doppler Effect,Win,8.5,Lose,FALSE
8548,99,Tipster H,03/02/2015,Kempton,Bowberry,Win,8,Lose,FALSE
8549,100,Tipster H,03/02/2015,Kempton,Scent Of Power,Win,7,Lose,FALSE
8550,101,Tipster H,03/02/2015,SouthWell,Activation,Win,10,Lose,FALSE
8551,102,Tipster H,03/02/2015,SouthWell,Air Of York,Win,7,Win,FALSE
8552,103,Tipster H,03/02/2015,Kempton,New Rich,Win,7.5,Lose,FALSE
8553,104,Tipster H,04/02/2015,Kempton,Two Turtle Doves,Win,8.5,Lose,FALSE
8554,105,Tipster H,04/02/2015,Kempton,Happy Jack,Win,9,Lose,FALSE
8555,106,Tipster H,04/02/2015,Kempton,Solstalla,Win,7,Lose,FALSE
8556,107,Tipster H,04/02/2015,Kempton,Consortium,Win,6,Lose,FALSE
8557,108,Tipster H,05/02/2015,Taunton,Sir Frank Morgan,Win,11,Lose,FALSE
8558,109,Tipster H,05/02/2015,Taunton,Ar Mad,Win,10,Lose,FALSE
8559,110,Tipster H,05/02/2015,Wolverhampton,Call Of Duty,Win,12,Lose,FALSE
8560,111,Tipster H,05/02/2015,Chelmsford,Soul Instinct,Win,8,Lose,FALSE
8561,112,Tipster H,05/02/2015,Chelmsford,Smoothtalkinrascal,Win,9,Lose,FALSE
8562,113,Tipster H,06/02/2015,Wolverhampton,True Spirit,Win,11,Lose,FALSE
8563,114,Tipster H,09/02/2015,Catterick,Mad For Road,Win,10,Lose,FALSE
8564,115,Tipster H,09/02/2015,Catterick,Short Takes,Win,10,Lose,FALSE
8565,116,Tipster H,09/02/2015,Catterick,Pinerolo,Win,11,Lose,FALSE
8566,117,Tipster H,09/02/2015,Plumpton,Wish In A Well,Win,13,Lose,FALSE
8567,118,Tipster H,09/02/2015,Wolverhampton,Forbidden City,Win,15,Win,FALSE
8568,119,Tipster H,10/02/2015,Ffos Las,Sandynow,Win,10,Lose,FALSE
8569,120,Tipster H,10/02/2015,Ffos Las,Makethe Mostofnow,Win,13,Lose,FALSE
8570,121,Tipster H,10/02/2015,Ayr,Supreme Asset,Win,8,Lose,FALSE
8571,122,Tipster H,10/02/2015,SouthWell,Major Rowan,Win,9,Lose,FALSE
8572,123,Tipster H,10/02/2015,Ffos Las,Try It Sometime,Win,11,Win,FALSE
8573,124,Tipster H,11/02/2015,Musselburgh,Kai Broon,Win,11,Lose,FALSE
8574,125,Tipster H,11/02/2015,Musselburgh,Dark Dune,Win,8,Lose,FALSE
8575,126,Tipster H,11/02/2015,Chepstow,Thomas Junior,Win,13,Lose,FALSE
8576,127,Tipster H,11/02/2015,Kempton,Jazri,Win,13,Lose,FALSE
8577,128,Tipster H,11/02/2015,Kempton,Yard Of Ale,Win,11,Lose,FALSE
8578,129,Tipster H,12/02/2015,Leicester,Silver Roque,Win,12,Lose,FALSE
8579,130,Tipster H,12/02/2015,Leicester,Mohi Rahrere,Win,10.5,Lose,FALSE
8580,131,Tipster H,12/02/2015,Chelmsford,Putin,Win,17,Win,FALSE
8581,132,Tipster H,12/02/2015,Chelmsford,Saved My Bacon,Win,9.55,Lose,FALSE
8582,133,Tipster H,12/02/2015,Chelmsford,Dude Alert,Win,15,Lose,FALSE
8583,134,Tipster H,13/02/2015,Fakenham,Freckle Face,Win,8,Lose,FALSE
8584,135,Tipster H,13/02/2015,Sandown,Fort George,Win,7,Lose,FALSE
8585,136,Tipster H,13/02/2015,Lingfield,Lindart,Win,10,Lose,FALSE
8586,137,Tipster H,13/02/2015,Wolverhampton,Majenski,Win,8,Lose,FALSE
8587,138,Tipster H,13/02/2015,Windsor,Severnwind,Win,13,Lose,FALSE
8588,139,Tipster H,14/02/2015,Auteuil,Beautiful Stranger,Win,9,Lose,FALSE
8589,140,Tipster H,15/02/2015,Ffos Las,Ballyrath,Win,10.5,Lose,FALSE
8590,141,Tipster H,15/02/2015,Market Rasen,Queen Olivia,Win,9,Lose,FALSE
8591,142,Tipster H,15/02/2015,Navan,Back In Focus,Win,17,Lose,FALSE
8592,143,Tipster H,15/02/2015,Ffos Las,Southway Star,Win,11,Lose,FALSE
8593,144,Tipster H,15/02/2015,Navan,Thatshowhedidit,Win,10,Lose,FALSE
8594,145,Tipster H,17/02/2015,Wetherby,Mister Jones,Win,9,Lose,FALSE
8595,146,Tipster H,17/02/2015,Wetherby,Ballycool,Win,9,Lose,FALSE
8596,147,Tipster H,17/02/2015,Taunton,Fox Norton,Win,9,Win,FALSE
8597,148,Tipster H,17/02/2015,Wolverhampton,Mignolino,Win,8,Win,FALSE
8598,149,Tipster H,17/02/2015,Wolverhampton,Logans Lad,Win,9,Lose,FALSE
8599,150,Tipster H,18/02/2015,Ludlow,Mr Shantu,Win,6.5,Lose,FALSE
8600,151,Tipster H,18/02/2015,Ludlow,Roll The Dice,Win,7.5,Lose,FALSE
8601,152,Tipster H,18/02/2015,Limerick,Sublime Talent,Win,10,Lose,FALSE
8602,153,Tipster H,18/02/2015,Lingfield,Exceedingly,Win,8.5,Lose,FALSE
8603,154,Tipster H,18/02/2015,Lingfield,Sample,Win,7.5,Lose,FALSE
8604,155,Tipster H,19/02/2015,Huntingdon,Barista,Win,9,Lose,FALSE
8605,156,Tipster H,19/02/2015,Musselburgh,Red Inca,Win,8,Win,FALSE
8606,157,Tipster H,19/02/2015,Musselburgh,Rear Admiral,Win,9,Lose,FALSE
8607,158,Tipster H,19/02/2015,Chelmsford,Royal Marskell,Win,11,Lose,FALSE
8608,159,Tipster H,20/02/2015,Exeter,Magic Magnolia,Win,9,Lose,FALSE
8609,160,Tipster H,20/02/2015,Lingfield,Multitask,Win,9,Win,FALSE
8610,161,Tipster H,20/02/2015,Wolverhampton,Redalani,Win,9,Lose,FALSE
8611,162,Tipster H,20/02/2015,Wolverhampton,Argent Touch,Win,9,Lose,FALSE
8612,163,Tipster H,20/02/2015,Wolverhampton,Dark Avenger,Win,9,Lose,FALSE
8613,164,Tipster H,22/02/2015,SouthWell,Frizzo,Win,7,Lose,FALSE
8614,165,Tipster H,24/02/2015,Lingfield,Tableforten,Win,6.5,Lose,FALSE
8615,166,Tipster H,24/02/2015,Lingfield,Heavens Above,Win,13,Lose,FALSE
8616,167,Tipster H,24/02/2015,Lingfield,Medicean Melody,Win,6,Lose,FALSE
8617,168,Tipster H,24/02/2015,Leicester,Ray Diamond,Win,7.5,Lose,FALSE
8618,169,Tipster H,24/02/2015,Catterick,New Youmzain,Win,11,Lose,FALSE
8619,170,Tipster H,25/02/2015,Wincanton,Jumeirah Liberty,Win,19,Lose,FALSE
8620,171,Tipster H,25/02/2015,Wincanton,Neverownup,Win,11,Lose,FALSE
8621,172,Tipster H,25/02/2015,Kempton,Monsieur Royale,Win,34,Lose,FALSE
8622,173,Tipster H,25/02/2015,Kempton,Townsville,Win,21,Win,FALSE
8623,174,Tipster H,25/02/2015,Kempton,Danegeld,Win,26,Win,FALSE
8624,175,Tipster H,26/02/2015,Chelmsford,Prayer Time,Win,26,Lose,FALSE
8625,176,Tipster H,28/02/2015,Hamilton,Walk Of Shame,Win,9,Lose,FALSE
8626,177,Tipster H,01/03/2015,Huntingdon,Hear The Chimes,Win,8.5,Win,FALSE
8627,178,Tipster H,01/03/2015,Sedgefield,Tahiti Pearl,Win,13,Lose,FALSE
8628,179,Tipster H,01/03/2015,Navan,Ad Idem,Win,11,Lose,FALSE
8629,180,Tipster H,01/03/2015,Sedgefield,Most Honourable,Win,9,Lose,FALSE
8630,181,Tipster H,01/03/2015,Huntingdon,Steady Eddie,Win,23,Lose,FALSE
8631,182,Tipster H,02/03/2015,Fakenham,Charging Indian,Win,9,Lose,FALSE
8632,183,Tipster H,02/03/2015,Wolverhampton,Als Memory,Win,11,Lose,FALSE
8633,184,Tipster H,02/03/2015,Fakenham,Albatros De Guye,Win,7.5,Lose,FALSE
8634,185,Tipster H,02/03/2015,Fakenham,Lucky Prince,Win,7.5,Lose,FALSE
8635,186,Tipster H,02/03/2015,Bellewstown,Belle Dormant,Win,9,Lose,FALSE
8636,187,Tipster H,03/03/2015,Exeter,Aces Over Eights,Win,13,Lose,FALSE
8637,188,Tipster H,03/03/2015,Exeter,Mister Snowball,Win,12,Lose,FALSE
8638,189,Tipster H,03/03/2015,SouthWell,Kung Hei Fat Choy,Win,11,Win,FALSE
8639,190,Tipster H,03/03/2015,Exeter,Powderonthebonnet,Win,11,Lose,FALSE
8640,191,Tipster H,04/03/2015,Catterick,Grand Vintage,Win,10,Win,FALSE
8641,192,Tipster H,04/03/2015,Lingfield,Ze King,Win,10,Lose,FALSE
8642,193,Tipster H,04/03/2015,Catterick,Midnight Tour,Win,6,Win,FALSE
8643,194,Tipster H,04/03/2015,Kempton,Locommotion,Win,26,Lose,FALSE
8644,195,Tipster H,04/03/2015,Kempton,Quinta Feira,Win,8,Lose,FALSE
8645,196,Tipster H,05/03/2015,Carlisle,Becauseshesaidso,Win,6,Lose,FALSE
8646,197,Tipster H,05/03/2015,Carlisle,Astrum,Win,11,Lose,FALSE
8647,198,Tipster H,05/03/2015,SouthWell,Steel City Boy,Win,13,Lose,FALSE
8648,199,Tipster H,05/03/2015,Chelmsford,Light From Mars,Win,10,Lose,FALSE
8649,200,Tipster H,05/03/2015,Chelmsford,Ifwecan,Win,6,Lose,FALSE
8650,201,Tipster H,06/03/2015,Sandown,Cash Injection,Win,8.5,Lose,FALSE
8651,202,Tipster H,06/03/2015,Ayr,Hurricane Ivan,Win,10,Lose,FALSE
8652,203,Tipster H,06/03/2015,Leicester,Cool Bob,Win,7.5,Lose,FALSE
8653,204,Tipster H,06/03/2015,Sandown,Crack Away Jack,Win,10,Lose,FALSE
8654,205,Tipster H,06/03/2015,Ayr,Back To Bracka,Win,6.5,Lose,FALSE
8655,206,Tipster H,07/03/2015,Ayr,Cloudante,Win,9,Lose,FALSE
8656,207,Tipster H,11/03/2015,SouthWell,Pool House,Win,10,Lose,FALSE
8657,208,Tipster H,11/03/2015,SouthWell,Alfaraaby,Win,11,Lose,FALSE
8658,209,Tipster H,11/03/2015,Huntingdon,Waddingtown Hero,Win,10,Lose,FALSE
8659,210,Tipster H,11/03/2015,Lingfield,Excelling Oscar,Win,6,Lose,FALSE
8660,211,Tipster H,11/03/2015,SouthWell,Captain Scooby,Win,17,Lose,FALSE
8661,212,Tipster H,12/03/2015,Hexham,Resolute Reformer,Win,9,Lose,FALSE
8662,213,Tipster H,12/03/2015,Towcester,Wicklewood,Win,9,Lose,FALSE
8663,214,Tipster H,12/03/2015,Hexham,Purple Harry,Win,7,Lose,FALSE
8664,215,Tipster H,12/03/2015,Chelmsford,Subtle Knife,Win,9,Lose,FALSE
8665,216,Tipster H,12/03/2015,Chelmsford,Saskias Dream,Win,8,Lose,FALSE
8666,217,Tipster H,13/03/2015,Lingfield,Auden,Win,17,Lose,FALSE
8667,218,Tipster H,13/03/2015,Fakenham,Triple Chief,Win,6.5,Lose,FALSE
8668,219,Tipster H,13/03/2015,Lingfield,Zubaidah Silkzubaidah,Win,13,Lose,FALSE
8669,220,Tipster H,13/03/2015,Wolverhampton,Bryant Park,Win,10,Lose,FALSE
8670,221,Tipster H,13/03/2015,Wolverhampton,Quadriga,Win,10,Lose,FALSE
8671,222,Tipster H,18/03/2015,Kempton,Crowning Star,Win,17,Win,FALSE
8672,223,Tipster H,18/03/2015,Kempton,Beach Action,Win,21,Lose,FALSE
8673,224,Tipster H,18/03/2015,Kempton,Lexington Blue,Win,15,Lose,FALSE
8674,225,Tipster H,18/03/2015,Kempton,Caltra Colleen,Win,11,Lose,FALSE
8675,226,Tipster H,18/03/2015,Kempton,Light From Mars,Win,17,Lose,FALSE
8676,227,Tipster H,19/03/2015,Chepstow,Sunshine Buddy,Win,17,Lose,FALSE
8677,228,Tipster H,19/03/2015,Chepstow,Flanagans Field,Win,21,Lose,FALSE
8678,229,Tipster H,19/03/2015,Hamilton,Champagne Ransom,Win,21,Lose,FALSE
8679,230,Tipster H,19/03/2015,Chepstow,Sustainability,Win,21,Lose,FALSE
8680,231,Tipster H,19/03/2015,Wolverhampton,Medal Of Valour,Win,26,Lose,FALSE
8681,232,Tipster H,20/03/2015,Sedgefield,Boruma,Win,17,Lose,FALSE
8682,233,Tipster H,20/03/2015,Newbury,Tony Star,Win,23,Lose,FALSE
8683,234,Tipster H,20/03/2015,Lingfield,Dark Side Dream,Win,29,Lose,FALSE
8684,235,Tipster H,20/03/2015,Newbury,Hinton Indiana,Win,34,Lose,FALSE
8685,236,Tipster H,20/03/2015,Sedgefield,Tickanrun,Win,34,Lose,FALSE
8686,237,Tipster H,21/03/2015,Newbury,One Term,Win,29,Lose,FALSE
